GEO.id,GEO.id2,GEO.display-label,GC_RANK.target-geo-id,GC_RANK.target-geo-id2,GC_RANK.display-label,GC_RANK.display-label,respop72013
0100000US,,United States,1620000US4261000,4261000,"United States - Pittsburgh city, Pennsylvania","Pittsburgh city, Pennsylvania",305841
0100000US,,United States,1620000US0203000,0203000,"United States - Anchorage municipality, Alaska","Anchorage municipality, Alaska",300950
0100000US,,United States,1620000US0675000,0675000,"United States - Stockton city, California","Stockton city, California",298118
0100000US,,United States,1620000US3915000,3915000,"United States - Cincinnati city, Ohio","Cincinnati city, Ohio",297517
0100000US,,United States,1620000US2758000,2758000,"United States - St. Paul city, Minnesota","St. Paul city, Minnesota",294873
0100000US,,United States,1620000US3977000,3977000,"United States - Toledo city, Ohio","Toledo city, Ohio",282313
0100000US,,United States,1620000US3728000,3728000,"United States - Greensboro city, North Carolina","Greensboro city, North Carolina",279639
0100000US,,United States,1620000US3451000,3451000,"United States - Newark city, New Jersey","Newark city, New Jersey",278427
0100000US,,United States,1620000US4858016,4858016,"United States - Plano city, Texas","Plano city, Texas",274409
0100000US,,United States,1620000US3231900,3231900,"United States - Henderson city, Nevada","Henderson city, Nevada",270811
0100000US,,United States,1620000US3128000,3128000,"United States - Lincoln city, Nebraska","Lincoln city, Nebraska",268738
0100000US,,United States,1620000US3611000,3611000,"United States - Buffalo city, New York","Buffalo city, New York",258959
0100000US,,United States,1620000US3436000,3436000,"United States - Jersey City city, New Jersey","Jersey City city, New Jersey",257342
0100000US,,United States,1620000US0613392,0613392,"United States - Chula Vista city, California","Chula Vista city, California",256780
0100000US,,United States,1620000US1825000,1825000,"United States - Fort Wayne city, Indiana","Fort Wayne city, Indiana",256496
0100000US,,United States,1620000US1253000,1253000,"United States - Orlando city, Florida","Orlando city, Florida",255483
0100000US,,United States,1620000US1263000,1263000,"United States - St. Petersburg city, Florida","St. Petersburg city, Florida",249688
0100000US,,United States,1620000US0412000,0412000,"United States - Chandler city, Arizona","Chandler city, Arizona",249146
0100000US,,United States,1620000US4841464,4841464,"United States - Laredo city, Texas","Laredo city, Texas",248142
0100000US,,United States,1620000US5157000,5157000,"United States - Norfolk city, Virginia","Norfolk city, Virginia",246139
0100000US,,United States,1620000US3719000,3719000,"United States - Durham city, North Carolina","Durham city, North Carolina",245475
0100000US,,United States,1620000US5548000,5548000,"United States - Madison city, Wisconsin","Madison city, Wisconsin",243344
0100000US,,United States,1620000US4845000,4845000,"United States - Lubbock city, Texas","Lubbock city, Texas",239538
0100000US,,United States,1620000US0636770,0636770,"United States - Irvine city, California","Irvine city, California",236716
0100000US,,United States,1620000US3775000,3775000,"United States - Winston-Salem city, North Carolina","Winston-Salem city, North Carolina",236441
0100000US,,United States,1620000US0427820,0427820,"United States - Glendale city, Arizona","Glendale city, Arizona",234632
0100000US,,United States,1620000US4829000,4829000,"United States - Garland city, Texas","Garland city, Texas",234566
0100000US,,United States,1620000US1230000,1230000,"United States - Hialeah city, Florida","Hialeah city, Florida",233394
0100000US,,United States,1620000US3260600,3260600,"United States - Reno city, Nevada","Reno city, Nevada",233294
0100000US,,United States,1620000US5116000,5116000,"United States - Chesapeake city, Virginia","Chesapeake city, Virginia",230571
0100000US,,United States,1620000US0427400,0427400,"United States - Gilbert town, Arizona","Gilbert town, Arizona",229972
0100000US,,United States,1620000US2205000,2205000,"United States - Baton Rouge city, Louisiana","Baton Rouge city, Louisiana",229426
0100000US,,United States,1620000US4837000,4837000,"United States - Irving city, Texas","Irving city, Texas",228653
0100000US,,United States,1620000US0465000,0465000,"United States - Scottsdale city, Arizona","Scottsdale city, Arizona",226918
0100000US,,United States,1620000US3251800,3251800,"United States - North Las Vegas city, Nevada","North Las Vegas city, Nevada",226877
0100000US,,United States,1620000US0626000,0626000,"United States - Fremont city, California","Fremont city, California",224922
0100000US,,United States,1620000US1608830,1608830,"United States - Boise City city, Idaho","Boise City city, Idaho",214237
0100000US,,United States,1620000US5167000,5167000,"United States - Richmond city, Virginia","Richmond city, Virginia",214114
0100000US,,United States,1620000US0665000,0665000,"United States - San Bernardino city, California","San Bernardino city, California",213708
0100000US,,United States,1620000US0107000,0107000,"United States - Birmingham city, Alabama","Birmingham city, Alabama",212113
0100000US,,United States,1620000US5367000,5367000,"United States - Spokane city, Washington","Spokane city, Washington",210721
0100000US,,United States,1620000US3663000,3663000,"United States - Rochester city, New York","Rochester city, New York",210358
0100000US,,United States,1620000US1921000,1921000,"United States - Des Moines city, Iowa","Des Moines city, Iowa",207510
0100000US,,United States,1620000US0648354,0648354,"United States - Modesto city, California","Modesto city, California",204933
0100000US,,United States,1620000US3722920,3722920,"United States - Fayetteville city, North Carolina","Fayetteville city, North Carolina",204408
0100000US,,United States,1620000US5370000,5370000,"United States - Tacoma city, Washington","Tacoma city, Washington",203446
0100000US,,United States,1620000US0654652,0654652,"United States - Oxnard city, California","Oxnard city, California",203007
0100000US,,United States,1620000US0624680,0624680,"United States - Fontana city, California","Fontana city, California",203003
0100000US,,United States,1620000US1319000,1319000,"United States - Columbus city, Georgia","Columbus city, Georgia",202824
0100000US,,United States,1620000US0151000,0151000,"United States - Montgomery city, Alabama","Montgomery city, Alabama",201332
0100000US,,United States,1620000US0649270,0649270,"United States - Moreno Valley city, California","Moreno Valley city, California",201175
0100000US,,United States,1620000US2270000,2270000,"United States - Shreveport city, Louisiana","Shreveport city, Louisiana",200327
0100000US,,United States,1620000US1703012,1703012,"United States - Aurora city, Illinois","Aurora city, Illinois",199963
0100000US,,United States,1620000US3684000,3684000,"United States - Yonkers city, New York","Yonkers city, New York",199766
0100000US,,United States,1620000US3901000,3901000,"United States - Akron city, Ohio","Akron city, Ohio",198100
0100000US,,United States,1620000US0636000,0636000,"United States - Huntington Beach city, California","Huntington Beach city, California",197575
0100000US,,United States,1620000US0541000,0541000,"United States - Little Rock city, Arkansas","Little Rock city, Arkansas",197357
0100000US,,United States,1620000US1304204,1304204,"United States - Augusta-Richmond County consolidated government (balance), Georgia","Augusta-Richmond County consolidated government (balance), Georgia",197350
0100000US,,United States,1620000US4803000,4803000,"United States - Amarillo city, Texas","Amarillo city, Texas",196429
0100000US,,United States,1620000US0630000,0630000,"United States - Glendale city, California","Glendale city, California",196021
0100000US,,United States,1620000US0150000,0150000,"United States - Mobile city, Alabama","Mobile city, Alabama",194899
0100000US,,United States,1620000US2634000,2634000,"United States - Grand Rapids city, Michigan","Grand Rapids city, Michigan",192294
0100000US,,United States,1620000US4967000,4967000,"United States - Salt Lake City city, Utah","Salt Lake City city, Utah",191180
0100000US,,United States,1620000US1270600,1270600,"United States - Tallahassee city, Florida","Tallahassee city, Florida",186411
0100000US,,United States,1620000US0137000,0137000,"United States - Huntsville city, Alabama","Huntsville city, Alabama",186254
0100000US,,United States,1620000US4830464,4830464,"United States - Grand Prairie city, Texas","Grand Prairie city, Texas",183372
0100000US,,United States,1620000US4740000,4740000,"United States - Knoxville city, Tennessee","Knoxville city, Tennessee",183270
0100000US,,United States,1620000US2582000,2582000,"United States - Worcester city, Massachusetts","Worcester city, Massachusetts",182544
0100000US,,United States,1620000US5156000,5156000,"United States - Newport News city, Virginia","Newport News city, Virginia",182020
0100000US,,United States,1620000US4810768,4810768,"United States - Brownsville city, Texas","Brownsville city, Texas",181860
0100000US,,United States,1620000US2053775,2053775,"United States - Overland Park city, Kansas","Overland Park city, Kansas",181260
0100000US,,United States,1620000US0669088,0669088,"United States - Santa Clarita city, California","Santa Clarita city, California",179590
0100000US,,United States,1620000US4459000,4459000,"United States - Providence city, Rhode Island","Providence city, Rhode Island",177994
0100000US,,United States,1620000US0629000,0629000,"United States - Garden Grove city, California","Garden Grove city, California",175140
0100000US,,United States,1620000US4714000,4714000,"United States - Chattanooga city, Tennessee","Chattanooga city, Tennessee",173366
0100000US,,United States,1620000US0653322,0653322,"United States - Oceanside city, California","Oceanside city, California",172794
0100000US,,United States,1620000US2836000,2836000,"United States - Jackson city, Mississippi","Jackson city, Mississippi",172638
0100000US,,United States,1620000US1224000,1224000,"United States - Fort Lauderdale city, Florida","Fort Lauderdale city, Florida",172389
0100000US,,United States,1620000US0670098,0670098,"United States - Santa Rosa city, California","Santa Rosa city, California",171990
0100000US,,United States,1620000US0659451,0659451,"United States - Rancho Cucamonga city, California","Rancho Cucamonga city, California",171386
0100000US,,United States,1620000US1258715,1258715,"United States - Port St. Lucie city, Florida","Port St. Lucie city, Florida",171016
0100000US,,United States,1620000US0473000,0473000,"United States - Tempe city, Arizona","Tempe city, Arizona",168228
0100000US,,United States,1620000US0653896,0653896,"United States - Ontario city, California","Ontario city, California",167500
0100000US,,United States,1620000US5374060,5374060,"United States - Vancouver city, Washington","Vancouver city, Washington",167405
0100000US,,United States,1620000US1210275,1210275,"United States - Cape Coral city, Florida","Cape Coral city, Florida",165831
0100000US,,United States,1620000US4659020,4659020,"United States - Sioux Falls city, South Dakota","Sioux Falls city, South Dakota",164676
0100000US,,United States,1620000US2970000,2970000,"United States - Springfield city, Missouri","Springfield city, Missouri",164122
0100000US,,United States,1620000US0454050,0454050,"United States - Peoria city, Arizona","Peoria city, Arizona",162592
0100000US,,United States,1620000US1255775,1255775,"United States - Pembroke Pines city, Florida","Pembroke Pines city, Florida",162329
0100000US,,United States,1620000US0622020,0622020,"United States - Elk Grove city, California","Elk Grove city, California",161007
0100000US,,United States,1620000US4164900,4164900,"United States - Salem city, Oregon","Salem city, Oregon",160614
0100000US,,United States,1620000US0640130,0640130,"United States - Lancaster city, California","Lancaster city, California",159523
0100000US,,United States,1620000US0616350,0616350,"United States - Corona city, California","Corona city, California",159503
0100000US,,United States,1620000US4123850,4123850,"United States - Eugene city, Oregon","Eugene city, Oregon",159190
0100000US,,United States,1620000US0655156,0655156,"United States - Palmdale city, California","Palmdale city, California",157161
0100000US,,United States,1620000US0664224,0664224,"United States - Salinas city, California","Salinas city, California",155662
0100000US,,United States,1620000US2567000,2567000,"United States - Springfield city, Massachusetts","Springfield city, Massachusetts",153703
0100000US,,United States,1620000US4856000,4856000,"United States - Pasadena city, Texas","Pasadena city, Texas",152735
0100000US,,United States,1620000US0827425,0827425,"United States - Fort Collins city, Colorado","Fort Collins city, Colorado",152061
0100000US,,United States,1620000US0633000,0633000,"United States - Hayward city, California","Hayward city, California",151574
0100000US,,United States,1620000US0658072,0658072,"United States - Pomona city, California","Pomona city, California",151348
0100000US,,United States,1620000US3710740,3710740,"United States - Cary town, North Carolina","Cary town, North Carolina",151088
0100000US,,United States,1620000US1765000,1765000,"United States - Rockford city, Illinois","Rockford city, Illinois",150251
0100000US,,United States,1620000US5101000,5101000,"United States - Alexandria city, Virginia","Alexandria city, Virginia",148892
0100000US,,United States,1620000US0622804,0622804,"United States - Escondido city, California","Escondido city, California",148738
0100000US,,United States,1620000US4845744,4845744,"United States - McKinney city, Texas","McKinney city, Texas",148559
0100000US,,United States,1620000US2036000,2036000,"United States - Kansas City city, Kansas","Kansas City city, Kansas",148483
0100000US,,United States,1620000US1738570,1738570,"United States - Joliet city, Illinois","Joliet city, Illinois",147806
0100000US,,United States,1620000US0677000,0677000,"United States - Sunnyvale city, California","Sunnyvale city, California",147559
0100000US,,United States,1620000US0680000,0680000,"United States - Torrance city, California","Torrance city, California",147478
0100000US,,United States,1620000US0908000,0908000,"United States - Bridgeport city, Connecticut","Bridgeport city, Connecticut",147216
0100000US,,United States,1620000US0843000,0843000,"United States - Lakewood city, Colorado","Lakewood city, Colorado",147214
0100000US,,United States,1620000US1232000,1232000,"United States - Hollywood city, Florida","Hollywood city, Florida",146526
0100000US,,United States,1620000US3457000,3457000,"United States - Paterson city, New Jersey","Paterson city, New Jersey",145948
0100000US,,United States,1620000US1751622,1751622,"United States - Naperville city, Illinois","Naperville city, Illinois",144864
0100000US,,United States,1620000US3673000,3673000,"United States - Syracuse city, New York","Syracuse city, New York",144669
0100000US,,United States,1620000US4847892,4847892,"United States - Mesquite city, Texas","Mesquite city, Texas",143484
0100000US,,United States,1620000US3921000,3921000,"United States - Dayton city, Ohio","Dayton city, Ohio",143355
0100000US,,United States,1620000US1369000,1369000,"United States - Savannah city, Georgia","Savannah city, Georgia",142772
0100000US,,United States,1620000US4715160,4715160,"United States - Clarksville city, Tennessee","Clarksville city, Tennessee",142357
0100000US,,United States,1620000US0653980,0653980,"United States - Orange city, California","Orange city, California",139969
0100000US,,United States,1620000US0656000,0656000,"United States - Pasadena city, California","Pasadena city, California",139731
0100000US,,United States,1620000US0628000,0628000,"United States - Fullerton city, California","Fullerton city, California",138981
0100000US,,United States,1620000US4839148,4839148,"United States - Killeen city, Texas","Killeen city, Texas",137147
0100000US,,United States,1620000US4827684,4827684,"United States - Frisco city, Texas","Frisco city, Texas",136791
0100000US,,United States,1620000US5135000,5135000,"United States - Hampton city, Virginia","Hampton city, Virginia",136699
0100000US,,United States,1620000US4845384,4845384,"United States - McAllen city, Texas","McAllen city, Texas",136639
0100000US,,United States,1620000US2684000,2684000,"United States - Warren city, Michigan","Warren city, Michigan",134873
0100000US,,United States,1620000US5305210,5305210,"United States - Bellevue city, Washington","Bellevue city, Washington",133992
0100000US,,United States,1620000US4983470,4983470,"United States - West Valley City city, Utah","West Valley City city, Utah",133579
0100000US,,United States,1620000US4516000,4516000,"United States - Columbia city, South Carolina","Columbia city, South Carolina",133358
0100000US,,United States,1620000US2052575,2052575,"United States - Olathe city, Kansas","Olathe city, Kansas",131885
0100000US,,United States,1620000US2676460,2676460,"United States - Sterling Heights city, Michigan","Sterling Heights city, Michigan",131224
0100000US,,United States,1620000US0952000,0952000,"United States - New Haven city, Connecticut","New Haven city, Connecticut",130660
